ts_utc,dex,symbol,funding_1h,apr_pct,mark,oi_usd,day_vlm_usd
2026-07-30T01:24:22Z,xyz,xyz:XYZ100,0.0000062500,5.475,27486.0,238812716,837417052
2026-07-30T01:24:22Z,xyz,xyz:TSLA,0.0000062500,5.475,299.84,35548969,40196078
2026-07-30T01:24:22Z,xyz,xyz:NVDA,0.0000054157,4.744,192.16,154498574,114969013
2026-07-30T01:24:22Z,xyz,xyz:GOLD,0.0000128043,11.217,4084.1,164184893,74606079
2026-07-30T01:24:22Z,xyz,xyz:HOOD,0.0000106426,9.323,89.155,16528839,22423184
2026-07-30T01:24:22Z,xyz,xyz:INTC,0.0000103901,9.102,83.135,36032500,70287943
2026-07-30T01:24:22Z,xyz,xyz:PLTR,0.0000062500,5.475,123.29,4409399,3896516
2026-07-30T01:24:22Z,xyz,xyz:COIN,0.0000062500,5.475,160.35,9203137,6867890
2026-07-30T01:24:22Z,xyz,xyz:META,0.0000269804,23.635,547.97,40484901,84435318
2026-07-30T01:24:22Z,xyz,xyz:AAPL,-0.0000159592,-13.98,339.45,97672245,65880351
2026-07-30T01:24:22Z,xyz,xyz:MSFT,0.0000062500,5.475,419.53,48380807,122049368
2026-07-30T01:24:22Z,xyz,xyz:ORCL,0.0000234957,20.582,119.11,31345706,11444805
2026-07-30T01:24:22Z,xyz,xyz:GOOGL,0.0000145018,12.704,337.45,96969868,61515113
2026-07-30T01:24:22Z,xyz,xyz:AMZN,0.0000076715,6.72,230.1,15578797,18256280
2026-07-30T01:24:22Z,xyz,xyz:AMD,0.0000062500,5.475,438.57,6982674,37527379
2026-07-30T01:24:22Z,xyz,xyz:MU,0.0000192084,16.827,752.01,267093997,825528196
2026-07-30T01:24:22Z,xyz,xyz:SNDK,0.0000169540,14.852,1045.7,205956153,940042118
2026-07-30T01:24:22Z,xyz,xyz:MSTR,0.0000150432,13.178,94.026,20404031,15490914
2026-07-30T01:24:22Z,xyz,xyz:CRCL,0.0000254326,22.279,61.946,38867408,18570252
2026-07-30T01:24:22Z,xyz,xyz:NFLX,0.0000038134,3.341,73.067,9239262,14056852
2026-07-30T01:24:22Z,xyz,xyz:COST,-0.0000028951,-2.536,971.05,351761,430320
2026-07-30T01:24:22Z,xyz,xyz:LLY,-0.0000169283,-14.829,1208.4,3227431,1527615
2026-07-30T01:24:22Z,xyz,xyz:SKHX,0.0003607974,316.059,971.43,591824108,2053086909
2026-07-30T01:24:22Z,xyz,xyz:TSM,0.0000112416,9.848,380.5,7542542,10068457
2026-07-30T01:24:22Z,xyz,xyz:JPY,0.0000000000,0.0,163.47,12363406,3884639
2026-07-30T01:24:22Z,xyz,xyz:EUR,0.0000012329,1.08,1.1457,9913817,1622664
2026-07-30T01:24:22Z,xyz,xyz:SILVER,0.0000062500,5.475,58.527,87760987,114166321
2026-07-30T01:24:22Z,xyz,xyz:RIVN,0.0000062500,5.475,16.37,781053,996911
2026-07-30T01:24:22Z,xyz,xyz:BABA,0.0000062500,5.475,115.53,5393636,2878559
2026-07-30T01:24:22Z,xyz,xyz:CL,0.0000085956,7.53,83.979,166882243,407726193
2026-07-30T01:24:22Z,xyz,xyz:COPPER,-0.0000032472,-2.845,6.3903,8293648,2653043
2026-07-30T01:24:22Z,xyz,xyz:NATGAS,0.0000062500,5.475,2.7301,6550696,18898098
